dispatch_id,dispatch_date,vehicle_no,route,approved_freight,approved_surcharge,status
DSP-0831-001,2026-08-31,11가1017,용인백암센터->쿠팡이천물류,180000,20000,운행완료
DSP-0831-002,2026-08-31,12가1034,군포복합물류->대전문평센터,250000,0,운행완료
DSP-0831-003,2026-08-31,13가1051,남양주화도창고->평택항CY,220000,30000,운행완료
DSP-0831-004,2026-08-31,14가1068,안성원곡허브->안산시화공단,150000,0,운행완료
DSP-0831-006,2026-08-31,16가1102,음성맹동센터->청주오창센터,130000,30000,운행완료
DSP-0831-007,2026-08-31,17가1119,인천서구물류->김포고촌센터,110000,20000,운행완료
DSP-0831-008,2026-08-31,18가1136,광주첨단물류->전주팔복공단,170000,0,운행완료
DSP-0831-009,2026-08-31,19가1153,용인백암센터->쿠팡이천물류,180000,30000,운행완료
DSP-0831-010,2026-08-31,20가1170,군포복합물류->대전문평센터,250000,0,운행완료
DSP-0831-011,2026-08-31,21가1187,남양주화도창고->평택항CY,220000,20000,운행완료
DSP-0831-012,2026-08-31,22가1204,안성원곡허브->안산시화공단,150000,30000,운행완료
DSP-0831-013,2026-08-31,23가1221,칠곡물류센터->부산신항배후단지,320000,20000,운행완료
DSP-0831-014,2026-08-31,24가1238,음성맹동센터->청주오창센터,130000,0,운행완료
DSP-0831-015,2026-08-31,25가1255,인천서구물류->오배송정정센터,90000,30000,운행완료
DSP-0831-016,2026-08-31,26가1272,광주첨단물류->전주팔복공단,170000,0,운행완료
DSP-0831-017,2026-08-31,27가1289,용인백암센터->쿠팡이천물류,180000,20000,운행완료
DSP-0831-018,2026-08-31,28가1306,군포복합물류->대전문평센터,250000,30000,운행완료
DSP-0831-019,2026-08-31,29가1323,남양주화도창고->평택항CY,220000,20000,운행완료
DSP-0831-020,2026-08-31,30가1340,안성원곡허브->안산시화공단,150000,0,운행완료
DSP-0831-021,2026-08-31,31가1357,칠곡물류센터->부산신항배후단지,320000,30000,운행완료
DSP-0831-022,2026-08-31,32가1374,음성맹동센터->청주오창센터,130000,0,운행완료
DSP-0831-023,2026-08-31,33가1391,인천서구물류->김포고촌센터,110000,20000,운행완료
DSP-0831-024,2026-08-31,34가1408,광주첨단물류->전주팔복공단,170000,30000,운행완료
DSP-0831-026,2026-08-31,36가1442,군포복합물류->대전문평센터,250000,0,운행완료
DSP-0831-027,2026-08-31,37가1459,남양주화도창고->평택항CY,220000,30000,운행완료
DSP-0831-028,2026-08-31,38가1476,안성원곡허브->안산시화공단,150000,0,운행완료
DSP-0831-029,2026-08-31,39가1493,칠곡물류센터->부산신항배후단지,320000,20000,운행완료
DSP-0831-030,2026-08-31,40가1510,음성맹동센터->청주오창센터,130000,30000,운행완료
DSP-0831-031,2026-08-31,41가1527,인천서구물류->김포고촌센터,110000,20000,운행완료
DSP-0831-032,2026-08-31,42가1544,광주첨단물류->전주팔복공단,170000,0,운행완료
DSP-0831-033,2026-08-31,43가1561,용인백암센터->쿠팡이천물류,180000,30000,운행완료
DSP-0831-034,2026-08-31,44가1578,군포복합물류->대전문평센터,250000,0,운행완료
DSP-0831-035,2026-08-31,45가1595,남양주화도창고->오배송정정센터,200000,20000,운행완료
DSP-0831-036,2026-08-31,46가1612,안성원곡허브->안산시화공단,150000,30000,운행완료
DSP-0831-037,2026-08-31,47가1629,칠곡물류센터->부산신항배후단지,320000,20000,운행완료
DSP-0831-038,2026-08-31,48가1646,음성맹동센터->청주오창센터,130000,0,운행완료
DSP-0831-039,2026-08-31,49가1663,인천서구물류->김포고촌센터,110000,30000,운행완료
DSP-0831-040,2026-08-31,50가1680,광주첨단물류->전주팔복공단,170000,0,운행완료
