invoice_no,dispatch_id,vehicle_no,pdf_file,receipt_file,total_claimed,rotation_deg,shooting_distance,noise_type,status_label
INV-20260901-001,DSP-0831-001,11가1017,INV-20260901-001.pdf,RCP-20260901-001.jpg,200000,5,normal,none,정상
INV-20260901-002,DSP-0831-002,12가1034,INV-20260901-002.pdf,RCP-20260901-002.jpg,250000,-7,normal,none,정상
INV-20260901-003,DSP-0831-003,13가1051,INV-20260901-003.pdf,RCP-20260901-003.jpg,250000,12,close_up,none,정상
INV-20260901-004,DSP-0831-004,14가1068,INV-20260901-004.pdf,RCP-20260901-004.jpg,150000,-10,normal,none,정상
INV-20260901-005,N/A,15가1085,INV-20260901-005.pdf,RCP-20260901-005.jpg,340000,32,distant,none,보류_배차일지누락
INV-20260901-006,DSP-0831-006,16가1102,INV-20260901-006.pdf,RCP-20260901-006.jpg,160000,-28,normal,none,정상
INV-20260901-007,DSP-0831-007,17가1119,INV-20260901-007.pdf,RCP-20260901-007.jpg,130000,60,normal,shadow,정상
INV-20260901-008,DSP-0831-008,18가1136,INV-20260901-008.pdf,RCP-20260901-008.jpg,170000,90,normal,none,정상
INV-20260901-009,DSP-0831-009,19가1153,INV-20260901-009.pdf,RCP-20260901-009.jpg,210000,270,normal,blur,정상
INV-20260901-010,DSP-0831-010,20가1170,INV-20260901-010.pdf,RCP-20260901-010.jpg,275000,0,normal,none,보류_미승인할증청구
INV-20260901-011,DSP-0831-011,21가1187,INV-20260901-011.pdf,RCP-20260901-011.jpg,240000,5,close_up,none,정상
INV-20260901-012,DSP-0831-012,22가1204,INV-20260901-012.pdf,RCP-20260901-012.jpg,180000,-7,distant,none,정상
INV-20260901-013,DSP-0831-013,23가1221,INV-20260901-013.pdf,RCP-20260901-013.jpg,340000,12,normal,none,정상
INV-20260901-014,DSP-0831-014,24가1238,INV-20260901-014.pdf,RCP-20260901-014.jpg,130000,-10,normal,none,정상
INV-20260901-015,DSP-0831-015,25가1255,INV-20260901-015.pdf,RCP-20260901-015.jpg,140000,32,normal,shadow,보류_도착구간불일치
INV-20260901-016,DSP-0831-016,26가1272,INV-20260901-016.pdf,RCP-20260901-016.jpg,170000,-28,normal,none,정상
INV-20260901-017,DSP-0831-017,27가1289,INV-20260901-017.pdf,RCP-20260901-017.jpg,200000,60,normal,none,정상
INV-20260901-018,DSP-0831-018,28가1306,INV-20260901-018.pdf,RCP-20260901-018.jpg,280000,90,normal,none,정상
INV-20260901-019,DSP-0831-019,29가1323,INV-20260901-019.pdf,RCP-20260901-019.jpg,240000,270,normal,none,정상
INV-20260901-020,DSP-0831-020,30가1340,INV-20260901-020.pdf,RCP-20260901-020.jpg,180000,0,distant,none,보류_운임초과청구
INV-20260901-021,DSP-0831-021,31가1357,INV-20260901-021.pdf,RCP-20260901-021.jpg,350000,5,normal,none,정상
INV-20260901-022,DSP-0831-022,32가1374,INV-20260901-022.pdf,RCP-20260901-022.jpg,130000,-7,normal,blur,정상
INV-20260901-023,DSP-0831-023,33가1391,INV-20260901-023.pdf,RCP-20260901-023.jpg,130000,12,close_up,none,정상
INV-20260901-024,DSP-0831-024,34가1408,INV-20260901-024.pdf,RCP-20260901-024.jpg,200000,-10,normal,none,정상
INV-20260901-025,N/A,35가1425,INV-20260901-025.pdf,RCP-20260901-025.jpg,200000,32,normal,none,보류_배차일지누락
INV-20260901-026,DSP-0831-026,36가1442,INV-20260901-026.pdf,RCP-20260901-026.jpg,250000,-28,normal,none,정상
INV-20260901-027,DSP-0831-027,37가1459,INV-20260901-027.pdf,RCP-20260901-027.jpg,250000,60,distant,none,정상
INV-20260901-028,DSP-0831-028,38가1476,INV-20260901-028.pdf,RCP-20260901-028.jpg,150000,90,normal,shadow,정상
INV-20260901-029,DSP-0831-029,39가1493,INV-20260901-029.pdf,RCP-20260901-029.jpg,340000,270,normal,none,정상
INV-20260901-030,DSP-0831-030,40가1510,INV-20260901-030.pdf,RCP-20260901-030.jpg,185000,0,normal,none,보류_미승인할증청구
INV-20260901-031,DSP-0831-031,41가1527,INV-20260901-031.pdf,RCP-20260901-031.jpg,130000,5,close_up,none,정상
INV-20260901-032,DSP-0831-032,42가1544,INV-20260901-032.pdf,RCP-20260901-032.jpg,170000,-7,normal,none,정상
INV-20260901-033,DSP-0831-033,43가1561,INV-20260901-033.pdf,RCP-20260901-033.jpg,210000,12,normal,none,정상
INV-20260901-034,DSP-0831-034,44가1578,INV-20260901-034.pdf,RCP-20260901-034.jpg,250000,-10,normal,none,정상
INV-20260901-035,DSP-0831-035,45가1595,INV-20260901-035.pdf,RCP-20260901-035.jpg,240000,32,distant,none,보류_도착구간불일치
INV-20260901-036,DSP-0831-036,46가1612,INV-20260901-036.pdf,RCP-20260901-036.jpg,180000,-28,normal,none,정상
INV-20260901-037,DSP-0831-037,47가1629,INV-20260901-037.pdf,RCP-20260901-037.jpg,340000,60,normal,none,정상
INV-20260901-038,DSP-0831-038,48가1646,INV-20260901-038.pdf,RCP-20260901-038.jpg,130000,90,normal,shadow,정상
INV-20260901-039,DSP-0831-039,49가1663,INV-20260901-039.pdf,RCP-20260901-039.jpg,140000,270,normal,none,정상
INV-20260901-040,DSP-0831-040,50가1680,INV-20260901-040.pdf,RCP-20260901-040.jpg,200000,0,normal,none,보류_운임초과청구
